P0724,2019-05-13,0 days 15:14:13.300000
P0724,2019-05-14,0 days 05:30:01.464000
P3011,2019-05-01,0 days 08:21:50.097000
P3011,2019-05-02,0 days 06:28:01.919000
P3011,2019-05-03,0 days 11:19:06.154000
P3011,2019-05-04,0 days 12:59:31.504000
P3011,2019-05-05,0 days 13:52:10.455000
P3011,2019-05-06,0 days 13:43:39.327000
P0719,2019-05-09,0 days 07:46:58.304000
P0719,2019-05-10,0 days 07:55:38.303000
P0719,2019-05-11,0 days 12:50:39.313000
P0719,2019-05-12,0 days 10:11:25.983000
P0719,2019-05-13,0 days 04:48:15.117000
P0719,2019-05-14,0 days 10:02:09.758000
P0723,2019-05-09,0 days 05:57:10.787000
P0723,2019-05-10,0 days 11:12:54.908000
P0723,2019-05-11,0 days 08:23:37.624000
P0723,2019-05-12,0 days 14:09:01.765000
P0723,2019-05-13,0 days 12:52:09.451000
P0723,2019-05-14,0 days 05:02:50.051000
P3028,2019-05-01,0 days 06:27:03.255000
P3028,2019-05-02,0 days 03:00:52.719000
P3028,2019-05-03,0 days 06:39:31.218000
P3028,2019-05-04,0 days 13:05:39.167000
P3028,2019-05-05,0 days 08:49:36.844000
P3028,2019-05-06,0 days 12:17:05.100000
P0707,2019-05-08,0 days 03:13:25.202000
P0707,2019-05-09,0 days 11:13:23.769000
P0707,2019-05-10,0 days 12:13:24.733000
P0707,2019-05-11,0 days 11:41:09.973000
P0707,2019-05-12,0 days 14:17:51.222000
P0707,2019-05-13,0 days 16:28:56.056000
P0707,2019-05-14,0 days 19:26:54.359000
P0722,2019-05-09,0 days 14:53:21.689000
P0722,2019-05-10,0 days 07:32:32.849000
P0722,2019-05-11,0 days 21:30:17.683000
P0722,2019-05-12,0 days 12:38:11.422000
P0722,2019-05-13,0 days 10:49:12.912000
P0722,2019-05-14,0 days 09:35:44.204000
P1511,2019-05-16,0 days 03:57:40.058000
P1511,2019-05-17,0 days 08:10:21.577000
P1511,2019-05-18,0 days 02:53:59.484000
P1511,2019-05-19,0 days 08:12:39.593000
P1511,2019-05-20,0 days 06:27:14.889000
P1511,2019-05-21,0 days 09:00:09.301000
P1511,2019-05-22,0 days 07:16:24.214000
P0726,2019-05-12,0 days 18:07:21.841000
P0726,2019-05-13,0 days 07:34:29.162000
P0726,2019-05-14,0 days 08:06:07.573000
P3002,2019-05-01,0 days 06:56:29.513000
P3002,2019-05-02,0 days 07:13:12.517000
P3002,2019-05-03,0 days 06:07:18.181000
P3002,2019-05-04,0 days 11:44:02.868000
P3002,2019-05-05,0 days 09:40:10.593000
P3002,2019-05-06,0 days 10:48:10.458000
P0701,2019-05-08,0 days 07:08:31.314000
P0701,2019-05-09,0 days 12:42:34.573000
P0701,2019-05-10,0 days 07:45:05.992000
P0701,2019-05-11,0 days 09:28:44.336000
P0701,2019-05-12,0 days 13:52:26.611000
P0701,2019-05-13,0 days 14:33:06.178000
P0701,2019-05-14,0 days 15:58:08.380000
P3010,2019-05-01,0 days 07:02:14.778000
P3009,2019-05-01,0 days 12:33:00.793000
P3009,2019-05-02,0 days 11:38:04.632000
P3009,2019-05-03,0 days 08:05:43.453000
P3009,2019-05-04,0 days 06:03:04.245000
P1518,2019-05-17,0 days 06:02:12.420000
P1518,2019-05-18,0 days 11:15:37.522000
P1518,2019-05-19,0 days 15:38:35.356000
P1518,2019-05-20,0 days 12:31:25.838000
P1518,2019-05-21,0 days 06:48:02.435000
P1518,2019-05-22,0 days 10:08:49.376000
P1518,2019-05-23,0 days 04:16:27.760000
P1526,2019-05-17,0 days 15:37:34.633000
P1526,2019-05-18,0 days 10:50:09.355000
P1526,2019-05-19,0 days 18:44:27.813000
P1526,2019-05-20,0 days 03:17:08.746000
P1526,2019-05-21,0 days 10:23:12.208000
P1526,2019-05-22,0 days 11:30:37.821000
P3007,2019-05-01,0 days 03:10:10.450000
P3007,2019-05-02,0 days 06:51:56.930000
P3007,2019-05-03,0 days 05:31:30.940000
P3007,2019-05-04,0 days 11:34:08.011000
P3007,2019-05-05,0 days 08:02:12.082000
P3007,2019-05-06,0 days 07:19:26.990000
P3007,2019-05-07,0 days 11:51:54.967000
P3005,2019-04-30,0 days 02:44:00.518000
P3005,2019-05-01,0 days 04:55:40.338000
P3005,2019-05-02,0 days 14:37:00.055000
P3005,2019-05-03,0 days 15:20:22.567000
P3005,2019-05-04,0 days 19:05:17.233000
P3005,2019-05-05,0 days 18:47:54.965000
P3005,2019-05-06,0 days 18:25:46.552000
